City	postcode	appartment_price	maison_price	location_price
NOGENT-SUR-MARNE	5748	7024	18.8	94052	
L-HAY-LES-ROSES	3923	4029	15.2	94038	
CHARENTON-LE-PONT	7335	8595	21	94018	
THIAIS	3501	3580	15.1	94073	
CACHAN	4414	4782	17.5	94016	
VILLIERS-SUR-MARNE	3584	3339	14	94079	
FRESNES	3485	4013	14.1	94034	
EVRY	2179	2443	12.6	91228	
CORBEIL-ESSONNES	2258	2140	12.6	91174	
MASSY	3898	3525	14.8	91377	
SAVIGNY-SUR-ORGE	3025	2931	13.2	91589	
SAINTE-GENEVIEVE-DES-BOIS	2946	2838	12.6	91549	
VIRY-CHATILLON	2884	2682	12.7	91687	
PALAISEAU	3745	3607	14	91477	
ATHIS-MONS	3064	2857	13.3	91027	
YERRES	3379	2959	13.3	91691	
DRAVEIL	2841	2853	12.8	91201	
VIGNEUX-SUR-SEINE	2920	2636	13.1	91657	
GRIGNY	1458	2247	12.1	91286	
RIS-ORANGIS	2066	2393	12.1	91521	
BRUNOY	3213	2862	13.2	91114	
LES-ULIS	2565	2889	11.3	91692	
BRETIGNY-SUR-ORGE	3032	2503	12.8	91103	
ETAMPES	2399	1969	11.2	91223	
MONTGERON	3831	2850	13.3	91421	
LONGJUMEAU	2918	2912	12.9	91345	
MORSANG-SUR-ORGE	2833	2702	12.3	91434	
BOULOGNE-BILLANCOURT	7543	8573	23.5	92012	
NANTERRE	4792	5332	18	92050	
COURBEVOIE	6120	7116	20.7	92026	
COLOMBES	4512	5365	17.2	92025	
ASNIERES-SUR-SEINE	5703	7062	19.1	92004	
RUEIL-MALMAISON	5395	6372	18.9	92063	
ISSY-LES-MOULINEAUX	6901	7265	21.8	92040	
LEVALLOIS-PERRET	7870	8030	24.5	92044	
ANTONY	4560	5027	16.9	92002	
NEUILLY-SUR-SEINE	8851	12172	26.2	92051	
CLICHY	5632	6077	20.4	92024	
CLAMART	5339	6108	17.8	92023	
MONTROUGE	6535	7256	21.1	92049	
SURESNES	6222	7040	20.3	92073	
MEUDON	5211	6987	19.1	92048	
PUTEAUX	6283	7047	20.6	92062	
GENNEVILLIERS	3512	3980	16.8	92036	
BAGNEUX	4153	4622	16.6	92007	
CHATILLON	5590	5729	18	92020	
CHATENAY-MALABRY	3882	5476	16.9	92019	
SAINT-DENIS	3411	2649	16.2	93066	
MONTREUIL	5484	4362	18.3	93048	
AULNAY-SOUS-BOIS	2928	2623	13.7	93005	
AUBERVILLIERS	3192	2896	17.2	93001	
DRANCY	2913	2695	14.9	93029	
NOISY-LE-GRAND	3452	3308	14.4	93051	
EPINAY-SUR-SEINE	2385	2645	13.8	93031	
PANTIN	4701	4392	18.3	93055	
BONDY	2656	2645	15.3	93010	
LE-BLANC-MESNIL	2695	2743	14.7	93007	
SEVRAN	2422	2404	13.1	93071	
SAINT-OUEN	4505	4535	18.8	93070	
BOBIGNY	2889	2669	14.9	93008	
LIVRY-GARGAN	2853	2681	14.2	93046	
ROSNY-SOUS-BOIS	3428	3498	14.7	93064	
NOISY-LE-SEC	3056	3112	15	93053	
GAGNY	3021	2691	14	93032	
LA-COURNEUVE	2896	2818	15.2	93027	
VILLEPINTE	2711	2379	13.2	93078	
STAINS	2470	2489	15.3	93072	
